tokipona	english
a or kin	(part) (emphasis, emotion or confirmation)
akesi	(n) non-cute animal; reptile, amphibian
ala	(adj) no, not, zero
alasa	(v) to hunt, forage
ale or ali	(adj) all; abundant, countless, bountifull, every, plentifull<br>(n) abundance, everything, life, universe<br>(num) 100
anpa	(adj) bowing down, downward, humble, lowly, dependent
ante	(adj) different, altered, changed, other
anu	(part) of
awen	(adj) enduring, kept, protected, safe, waiting, staying<br>(pre)(v) to continue to
e	(part) (before the direct object)
en	(part) (between multiple subjects)
esun	(n) market, shop, fair, bazaar, business transaction
ijo	(n) thing, phenomenon, object, matter
ike	(adj) bad, negative; non-essential, irrelevant
ilo	(n) tool, implement, machine, device
insa	(n) centre, content, inside, between; internal organ, stomach
jaki	(adj) disgusting, obscene
jan	(n) human being, person, somebody
jelo	yellow, yellowish
jo	to have, carry, contain, hold
kala	(n) fish, marine animal, sea creature
kalama	(v) to produce a sound; recite, utter aloud
kama	(adj) arriving, coming, future, summoned<br>(pre)-(v) to become, manage to, succeed in
kasi	(n) plant, vegetation; herb, leaf
ken	(pre)-(v) to be able to, be allowed to, can, may<br>(adj) possible
kepeken	(pre)P to use, with, by means of
kili	(n) fruit, vegetable, mushroom
kiwen	(n) hard object, metal, rock, stone
ko	(n) clay, clinging form, dough, semi-solid, paste, powder
kon	(n) air, breath; essence, spirit; hidden reality, unseen agent
kule	(adj) colourful, pigmented, painted
kulupu	(n) community, company, group, nation, society, tribe
kute	(n) ear<br>(v) to hear, listen;pay attention to, obey
la	(part) (between the context phrase and the main sentence)
lape	(adj) sleep, resting
laso	(adj) blue, green
lawa	(n) head, mind<br>VERM to control, direct, guide, lead, own, plan, regulate, rule
len	(n) cloth, clothing, fabric, textile, cover, layer of privacy
lete	(adj)  cold, cool; uncooked, raw
li	(part) (between any subject except  mi alone or sina alone and its (v); also to introduce a new (v) for the same subject)
lili	(adj) little, small, short; few; a bit; young
linja	(n) long and flexible thing; cord, hair rope, thread, yarn
lipu	(n) flat object; book, document, card, paper, record, website
loje	(adj) red, redish
lon	(pre)P located at, (pre)sent at, real, true, existing
luka	(n) arm, hand, tactile organ<br> (v) to look at, see, examine, observe, read, watch
lukin or oko	(n) eye<br>(v) to look at, see, examine, observe, read, watch<br>(pre)-(v) to seek, look for, try to
lupa	(n) door, hole, orifice, window
ma	(n) earth, land,; outdoors, world; country, territory,; soil
mama	(n) parent, ancestor; creator, originator; caretaker, sustainer
mani	(n) money, cash, savings, wealth; large domesticated animal
meli	(n) woman, female, feminine person; wife
mi	(n) I, me,  we, us
mije	(n) man male, masculine person,; husband
moku	(v) to eat, drink, consume, swallow, ingest
moli 	(adj)  dead, dying
monsi	(n) back, behind, rear
mu	(part) (animal noise or communication)
mun	(n) moon, night sky object, star
musi	(adj) artistic, entertaining, frivolous, playful, recreational
mute	(adj) many, a lot, more, much, several, very<br>(n) quantity
nanpa	(part -th (ordinal (num))<br>(n)  (num)s 
nasa	(adj) unusual, strange; foolish, crazy; drunk, intoxicated 
nasin	(n)  way, custom, doctrine, method, path, road 
nena	(n)  bump, button, hill, mountain, nose, protuberance 
ni	(adj)  that, this
nimi	(n)  name, word
noka	(n)  foot, leg, organ of locomotion; bottom, lower (part) 
o	(part) hey! O! (vocative or imperative) 
olin	(v) to love, have compassion for, respect, show affection to 
ona	(n) he, she, it, they
open	(v) to begin, start; open; turn on
pakala	(adj) botched, broken, damaged, harmed, messed up 
pali 	(v) to do, take action on, work on; build, make, (pre)pare 
palisa	(n) long hard thing; branch, rod, stick 
pan	(n) cereal, grain; barley, corn, oat, rice, wheat; bread, pasta 
pana	(v) to give, send, emit, provide, put, release 
pi	(part)  of 
pilin	(n) heart (physical or emotional)<br>(adj) feeling (an emotion, a direct experience) 
pimeja	(adj) black, dark, unlit
pini	(adj) ago, completed, ended, finished, past 
pipi	(n) bug, insect, ant, spider
poka	(n) hip, side; next to, nearby, vicinity
poki	(n) container, bag, bowl, box, cup, cupboard, drawer, vessel 
pona	(adj) good, positive, useful; friendly, peaceful; simple 
pu	(adj) interacting with the official Toki Pona book 
sama	(adj) same, similar; each other; sibling, peer, fellow<br>(prep) as, like
seli	(adj) fire; cooking element, chemical reaction, heat source 
selo	(n) outer form, outer layer; bark, peel, shell, skin; boundary 
seme	(part) what? which?
sewi	(n) area above, highest (part), something elevated<br>(adj) awe-inspiring, divine, sacred, supernatural 
sijelo	(n) body (of person or animal), physical state, torso 
sike	(n) round or circular thing; ball, circle, cycle, sphere, wheel<br>(adj) of one year
sin or namako	(adj)new, fresh; additional, another, extra
sina	(n) you
sinpin	(n) face, foremost, front, wall
sitelen	(n) image, picture, re(pre)sentation, symbol, mark, writing 
sona	(v) to know, be skilled in, be wise about, have information on<br>(preverb) to know how to
soweli	(n) animal, beast, land mammal
suli	(adj) big, heavy, large, long, tall; important; adult 
suno	(n) sun; light, brightness, glow, radiance, shine; light source 
supa	(n) horizontal surface, thing to put or rest something on 
suwi 	(adj) sweet, fragrant; cute, innocent, adorable tan <br>(prep) by, from, because of 
taso	(part) but, however<br>(adj) only
tawa	(prep) going to, toward; for; from the perspective of<br>(adj) moving
telo	(n) water, liquid, fluid, wet substance; beverage
tenpo	(n) time, duration, moment, occasion, period, situation 
toki	(v) to communicate, say, speak, say, talk, use language, think 
tomo	(n) indoor space; building, home, house, room
tu	(num) two
unpa	(v) to have sexual or marital relations with 
uta	(n) mouth, lips, oral cavity, jaw
utala	(v) to battle, challenge, compete against, struggle against 
walo	(adj) white, whitish; light-coloured, pale 
wan	(adj) unique, united<br>(num) one
waso	(n) bird, flying creature, winged animal
wawa	(adj) strong, powerful; confident, sure; energetic, intense 
weka	(adj) absent, away, ignored
wile	(preverb) must, need, require, should, want, wish
